file1;file2;kofola_fast_early_cnt-runtime;kofola_fast_early_cnt-retcode;kofola_fast_early_cnt-states_cnt;kofola_fast_early_plus_cnt-runtime;kofola_fast_early_plus_cnt-retcode;kofola_fast_early_plus_cnt-states_cnt;kofola_fast_dir_cnt-runtime;kofola_fast_dir_cnt-retcode;kofola_fast_dir_cnt-states_cnt;kofola_fast_gfee_cnt-runtime;kofola_fast_gfee_cnt-retcode;kofola_fast_gfee_cnt-states_cnt;kofola_fast_cnt-runtime;kofola_fast_cnt-retcode;kofola_fast_cnt-states_cnt;autfilt_64_cnt-runtime;autfilt_64_cnt-retcode;autfilt_64_cnt-states_cnt
automata/hyperltl/NI_correct_NI_formula_A.hoa;automata/hyperltl/NI_correct_NI_formula_B.hoa;0.01;0;65;0.01;0;65;0.01;0;65;0.01;0;65;0.01;0;65;0.0;0;61
automata/hyperltl/NI_incorrect_NI_formula_A.hoa;automata/hyperltl/NI_incorrect_NI_formula_B.hoa;0.44;1;185;0.44;1;185;1.49;1;185;0.44;1;185;0.44;1;185;0.33;1;92
automata/hyperltl/NRP_correct_NRP_formula_A.hoa;automata/hyperltl/NRP_correct_NRP_formula_B.hoa;0.01;1;20;0.0;1;20;TO;TO;TO;0.0;1;20;0.0;1;20;0.0;1;56
automata/hyperltl/NRP_incorrect_NRP_formula_A.hoa;automata/hyperltl/NRP_incorrect_NRP_formula_B.hoa;0.19;1;26;0.19;1;26;0.43;1;26;0.18;1;26;0.18;1;26;0.27;1;49
automata/hyperltl/bakery_3procs_bakery_formula_S2_3proc_A.hoa;automata/hyperltl/bakery_3procs_bakery_formula_S2_3proc_B.hoa;0.02;1;38;0.02;1;38;0.04;1;38;0.02;1;38;0.02;1;38;0.02;1;248
automata/hyperltl/bakery_3procs_bakery_formula_S3_3proc_A.hoa;automata/hyperltl/bakery_3procs_bakery_formula_S3_3proc_B.hoa;0.02;0;167;0.02;0;167;0.27;0;167;0.02;0;167;0.02;0;167;0.02;0;167
automata/hyperltl/bakery_3procs_bakery_formula_sym1_3proc_A.hoa;automata/hyperltl/bakery_3procs_bakery_formula_sym1_3proc_B.hoa;0.0;1;38;0.0;1;38;0.0;1;38;0.0;1;38;0.0;1;38;0.0;1;7
automata/hyperltl/bakery_3procs_bakery_formula_sym2_3proc_A.hoa;automata/hyperltl/bakery_3procs_bakery_formula_sym2_3proc_B.hoa;0.0;1;38;0.0;1;38;0.0;1;38;0.0;1;38;0.0;1;38;0.0;1;168
automata/hyperltl/bakery_5procs_bakery_formula_sym1_5proc_A.hoa;automata/hyperltl/bakery_5procs_bakery_formula_sym1_5proc_B.hoa;0.01;1;12;0.01;1;12;0.15;1;12;0.01;1;12;0.01;1;12;0.01;1;1061
automata/hyperltl/bakery_5procs_bakery_formula_sym2_5proc_A.hoa;automata/hyperltl/bakery_5procs_bakery_formula_sym2_5proc_B.hoa;0.01;1;12;0.01;1;12;0.06;1;12;0.01;1;12;0.0;1;12;0.01;1;1132
