file1;file2;rabit-runtime;rabit-retcode;rabit-states_cnt;forklift-runtime;forklift-retcode;forklift-states_cnt;bait-runtime;bait-retcode;bait-states_cnt;kofola_fast-runtime;kofola_fast-retcode;kofola_fast-states_cnt;kofola_fast_early-runtime;kofola_fast_early-retcode;kofola_fast_early-states_cnt;kofola_fast_early_plus-runtime;kofola_fast_early_plus-retcode;kofola_fast_early_plus-states_cnt;kofola_fast_early_early_plus-runtime;kofola_fast_early_early_plus-retcode;kofola_fast_early_early_plus-states_cnt;autfilt_64-runtime;autfilt_64-retcode;autfilt_64-states_cnt
automata/hyperltl/NI_correct_NI_formula_A.hoa;automata/hyperltl/NI_correct_NI_formula_B.hoa;0.06;0;;0.08;0;;0.02;1;;0.01;0;;0.01;0;;0.01;0;;0.0;0;;0.01;0;
automata/hyperltl/NI_correct_NI_formula_B.hoa;automata/hyperltl/NI_correct_NI_formula_A.hoa;0.05;0;;0.08;0;;0.04;1;;0.0;1;;0.0;1;;0.0;1;;0.0;1;;0.0;1;
automata/hyperltl/NI_incorrect_NI_formula_A.hoa;automata/hyperltl/NI_incorrect_NI_formula_B.hoa;0.1;0;;0.1;0;;0.03;1;;0.41;1;;0.42;1;;0.42;1;;0.42;1;;0.34;1;
automata/hyperltl/NI_incorrect_NI_formula_B.hoa;automata/hyperltl/NI_incorrect_NI_formula_A.hoa;0.1;0;;0.11;0;;0.02;1;;0.0;1;;0.0;1;;0.0;1;;0.01;1;;0.0;1;
automata/hyperltl/NRP_correct_NRP_formula_A.hoa;automata/hyperltl/NRP_correct_NRP_formula_B.hoa;0.05;1;;0.09;0;;0.02;1;;0.0;1;;0.0;1;;0.0;1;;0.0;1;;0.0;1;
automata/hyperltl/NRP_correct_NRP_formula_B.hoa;automata/hyperltl/NRP_correct_NRP_formula_A.hoa;0.05;1;;0.09;0;;0.02;1;;0.0;1;;0.0;1;;0.0;1;;0.0;1;;0.0;1;
automata/hyperltl/NRP_incorrect_NRP_formula_A.hoa;automata/hyperltl/NRP_incorrect_NRP_formula_B.hoa;0.05;1;;0.08;0;;0.02;1;;0.19;1;;0.19;1;;0.19;1;;0.18;1;;0.27;1;
automata/hyperltl/NRP_incorrect_NRP_formula_B.hoa;automata/hyperltl/NRP_incorrect_NRP_formula_A.hoa;0.04;1;;0.08;0;;0.02;1;;0.0;1;;0.0;1;;0.0;1;;0.0;1;;0.01;1;
automata/hyperltl/bakery_3procs_bakery_formula_S2_3proc_A.hoa;automata/hyperltl/bakery_3procs_bakery_formula_S2_3proc_B.hoa;0.07;0;;0.08;0;;0.02;1;;0.02;1;;0.01;1;;0.02;1;;0.01;1;;0.04;1;
automata/hyperltl/bakery_3procs_bakery_formula_S2_3proc_B.hoa;automata/hyperltl/bakery_3procs_bakery_formula_S2_3proc_A.hoa;0.07;0;;0.1;0;;0.02;1;;0.0;1;;0.0;1;;0.0;1;;0.0;1;;0.01;1;
automata/hyperltl/bakery_3procs_bakery_formula_S3_3proc_A.hoa;automata/hyperltl/bakery_3procs_bakery_formula_S3_3proc_B.hoa;0.08;0;;0.11;0;;0.02;1;;0.03;0;;0.03;0;;0.02;0;;0.02;0;;0.04;0;
automata/hyperltl/bakery_3procs_bakery_formula_S3_3proc_B.hoa;automata/hyperltl/bakery_3procs_bakery_formula_S3_3proc_A.hoa;0.08;0;;0.11;0;;0.03;1;;0.0;1;;0.0;1;;0.0;1;;0.01;1;;0.01;1;
automata/hyperltl/bakery_3procs_bakery_formula_sym1_3proc_A.hoa;automata/hyperltl/bakery_3procs_bakery_formula_sym1_3proc_B.hoa;0.04;1;;0.07;0;;0.03;1;;0.0;1;;0.0;1;;0.0;1;;0.0;1;;0.0;1;
automata/hyperltl/bakery_3procs_bakery_formula_sym1_3proc_B.hoa;automata/hyperltl/bakery_3procs_bakery_formula_sym1_3proc_A.hoa;0.03;1;;0.06;0;;0.03;1;;0.0;1;;0.0;1;;0.01;1;;0.0;1;;0.01;1;
automata/hyperltl/bakery_3procs_bakery_formula_sym2_3proc_A.hoa;automata/hyperltl/bakery_3procs_bakery_formula_sym2_3proc_B.hoa;0.04;1;;0.07;0;;0.02;1;;0.0;1;;0.0;1;;0.0;1;;0.0;1;;0.0;1;
automata/hyperltl/bakery_3procs_bakery_formula_sym2_3proc_B.hoa;automata/hyperltl/bakery_3procs_bakery_formula_sym2_3proc_A.hoa;0.03;1;;0.07;0;;0.03;1;;0.0;0;;0.01;0;;0.0;0;;0.01;0;;0.01;0;
automata/hyperltl/bakery_5procs_bakery_formula_sym1_5proc_A.hoa;automata/hyperltl/bakery_5procs_bakery_formula_sym1_5proc_B.hoa;0.08;1;;0.12;0;;0.03;1;;0.01;1;;0.01;1;;0.01;1;;0.01;1;;0.02;1;
automata/hyperltl/bakery_5procs_bakery_formula_sym1_5proc_B.hoa;automata/hyperltl/bakery_5procs_bakery_formula_sym1_5proc_A.hoa;0.03;1;;0.14;0;;0.03;1;;0.05;1;;0.05;1;;0.05;1;;0.05;1;;0.03;1;
automata/hyperltl/bakery_5procs_bakery_formula_sym2_5proc_A.hoa;automata/hyperltl/bakery_5procs_bakery_formula_sym2_5proc_B.hoa;0.07;1;;0.15;0;;0.03;1;;0.01;1;;0.01;1;;0.0;1;;0.01;1;;0.01;1;
automata/hyperltl/bakery_5procs_bakery_formula_sym2_5proc_B.hoa;automata/hyperltl/bakery_5procs_bakery_formula_sym2_5proc_A.hoa;0.04;1;;0.12;0;;0.02;1;;0.01;1;;0.01;1;;0.01;1;;0.01;1;;0.02;1;
automata/hyperltl/gni_concur_p1_1bit_A.hoa;automata/hyperltl/gni_concur_p1_1bit_B.hoa;0.02;0;;0.07;0;;0.03;1;;0.0;0;;0.0;0;;0.0;0;;0.0;0;;0.01;0;
automata/hyperltl/gni_concur_p1_1bit_B.hoa;automata/hyperltl/gni_concur_p1_1bit_A.hoa;0.02;0;;0.06;0;;0.02;1;;0.0;0;;0.0;0;;0.0;0;;0.0;0;;0.01;0;
automata/hyperltl/gni_concur_p1_3bit_A.hoa;automata/hyperltl/gni_concur_p1_3bit_B.hoa;0.08;0;;0.12;0;;0.03;1;;0.01;0;;0.01;0;;0.01;0;;0.01;0;;0.01;0;
automata/hyperltl/gni_concur_p1_3bit_B.hoa;automata/hyperltl/gni_concur_p1_3bit_A.hoa;0.07;0;;0.11;0;;0.03;1;;0.01;0;;0.0;0;;0.0;0;;0.0;0;;0.01;0;
automata/hyperltl/gni_concur_p1_4bit_A.hoa;automata/hyperltl/gni_concur_p1_4bit_B.hoa;0.23;0;;0.34;0;;0.03;1;;0.15;0;;0.15;0;;0.16;0;;0.16;0;;0.06;0;
automata/hyperltl/gni_concur_p1_4bit_B.hoa;automata/hyperltl/gni_concur_p1_4bit_A.hoa;0.25;0;;0.35;0;;0.03;1;;0.08;0;;0.07;0;;0.07;0;;0.07;0;;0.06;0;
automata/hyperltl/gni_concur_p2_1bit_A.hoa;automata/hyperltl/gni_concur_p2_1bit_B.hoa;0.08;0;;0.07;0;;0.02;1;;0.0;0;;0.0;0;;0.01;0;;0.0;0;;0.0;0;
automata/hyperltl/gni_concur_p2_1bit_B.hoa;automata/hyperltl/gni_concur_p2_1bit_A.hoa;0.06;0;;0.08;0;;0.02;1;;0.0;0;;0.0;0;;0.0;0;;0.0;0;;0.01;0;
automata/hyperltl/gni_concur_p3_1bit_A.hoa;automata/hyperltl/gni_concur_p3_1bit_B.hoa;0.05;0;;0.06;0;;0.02;1;;0.0;0;;0.01;0;;0.0;0;;0.0;0;;0.0;0;
automata/hyperltl/gni_concur_p3_1bit_B.hoa;automata/hyperltl/gni_concur_p3_1bit_A.hoa;0.04;0;;0.06;0;;0.02;1;;0.0;0;;0.0;0;;0.01;0;;0.0;0;;0.01;0;
automata/hyperltl/gni_concur_p3_3bit_A.hoa;automata/hyperltl/gni_concur_p3_3bit_B.hoa;0.09;0;;0.14;0;;0.03;1;;0.01;0;;0.02;0;;0.02;0;;0.02;0;;0.02;0;
automata/hyperltl/gni_concur_p3_3bit_B.hoa;automata/hyperltl/gni_concur_p3_3bit_A.hoa;0.13;0;;0.17;0;;0.03;1;;0.02;0;;0.03;0;;0.02;0;;0.02;0;;0.02;0;
automata/hyperltl/gni_concur_p4_1bit_A.hoa;automata/hyperltl/gni_concur_p4_1bit_B.hoa;0.06;0;;0.06;0;;0.02;1;;0.0;0;;0.0;0;;0.0;0;;0.0;0;;0.01;0;
automata/hyperltl/gni_concur_p4_1bit_B.hoa;automata/hyperltl/gni_concur_p4_1bit_A.hoa;0.06;0;;0.07;0;;0.04;1;;0.0;0;;0.0;0;;0.0;0;;0.01;0;;0.0;0;
automata/hyperltl/gni_concur_p4_3bit_A.hoa;automata/hyperltl/gni_concur_p4_3bit_B.hoa;0.16;0;;0.19;0;;0.03;1;;0.02;0;;0.02;0;;0.03;0;;0.03;0;;0.01;0;
automata/hyperltl/gni_concur_p4_3bit_B.hoa;automata/hyperltl/gni_concur_p4_3bit_A.hoa;0.14;0;;0.17;0;;0.03;1;;0.05;0;;0.06;0;;0.05;0;;0.05;0;;0.02;0;
automata/hyperltl/gni_lmcs_p1_1bit_A.hoa;automata/hyperltl/gni_lmcs_p1_1bit_B.hoa;0.02;0;;0.04;0;;0.02;1;;0.0;0;;0.0;0;;0.0;0;;0.0;0;;0.0;0;
automata/hyperltl/gni_lmcs_p1_1bit_B.hoa;automata/hyperltl/gni_lmcs_p1_1bit_A.hoa;0.02;0;;0.05;0;;0.03;1;;0.0;0;;0.0;0;;0.0;0;;0.0;0;;0.0;0;
automata/hyperltl/gni_lmcs_p2_1bit_A.hoa;automata/hyperltl/gni_lmcs_p2_1bit_B.hoa;0.03;0;;0.05;0;;0.03;1;;0.0;0;;0.0;0;;0.0;0;;0.0;0;;0.01;0;
automata/hyperltl/gni_lmcs_p2_1bit_B.hoa;automata/hyperltl/gni_lmcs_p2_1bit_A.hoa;0.05;0;;0.05;0;;0.03;1;;0.0;0;;0.0;0;;0.01;0;;0.0;0;;0.01;0;
automata/hyperltl/gni_lmcs_p2_2bit_A.hoa;automata/hyperltl/gni_lmcs_p2_2bit_B.hoa;0.05;0;;0.07;0;;0.04;1;;0.0;0;;0.0;0;;0.0;0;;0.0;0;;0.0;0;
automata/hyperltl/gni_lmcs_p2_2bit_B.hoa;automata/hyperltl/gni_lmcs_p2_2bit_A.hoa;0.06;0;;0.08;0;;0.03;1;;0.0;0;;0.0;0;;0.0;0;;0.0;0;;0.0;0;
automata/hyperltl/gni_lmcs_p2_4bit_A.hoa;automata/hyperltl/gni_lmcs_p2_4bit_B.hoa;0.63;0;;0.62;0;;0.03;1;;0.32;0;;0.32;0;;0.33;0;;0.32;0;;0.09;0;
automata/hyperltl/gni_lmcs_p2_4bit_B.hoa;automata/hyperltl/gni_lmcs_p2_4bit_A.hoa;0.62;0;;0.6;0;;0.03;1;;0.08;0;;0.1;0;;0.09;0;;0.09;0;;0.66;0;
automata/hyperltl/gni_lmcs_p3_1bit_A.hoa;automata/hyperltl/gni_lmcs_p3_1bit_B.hoa;0.05;0;;0.08;0;;0.04;1;;0.0;0;;0.0;0;;0.0;0;;0.0;0;;0.01;0;
automata/hyperltl/gni_lmcs_p3_1bit_B.hoa;automata/hyperltl/gni_lmcs_p3_1bit_A.hoa;0.05;0;;0.08;0;;0.04;1;;0.0;0;;0.0;0;;0.0;0;;0.0;0;;0.0;0;
automata/hyperltl/gni_lmcs_p3_3bit_A.hoa;automata/hyperltl/gni_lmcs_p3_3bit_B.hoa;0.4;0;;0.36;0;;0.03;1;;0.09;0;;0.1;0;;0.09;0;;0.1;0;;0.04;0;
automata/hyperltl/gni_lmcs_p3_3bit_B.hoa;automata/hyperltl/gni_lmcs_p3_3bit_A.hoa;0.37;0;;0.35;0;;0.03;1;;0.05;0;;0.05;0;;0.04;0;;0.04;0;;0.08;0;
automata/hyperltl/gni_lmcs_p4_1bit_A.hoa;automata/hyperltl/gni_lmcs_p4_1bit_B.hoa;0.06;0;;0.06;0;;0.03;1;;0.0;0;;0.0;0;;0.0;0;;0.0;0;;0.0;0;
automata/hyperltl/gni_lmcs_p4_1bit_B.hoa;automata/hyperltl/gni_lmcs_p4_1bit_A.hoa;0.06;0;;0.08;0;;0.02;1;;0.01;0;;0.01;0;;0.0;0;;0.0;0;;0.01;0;
automata/hyperltl/gni_lmcs_p4_3bit_A.hoa;automata/hyperltl/gni_lmcs_p4_3bit_B.hoa;0.41;0;;0.47;0;;0.03;1;;0.12;0;;0.12;0;;0.13;0;;0.12;0;;0.04;0;
automata/hyperltl/gni_lmcs_p4_3bit_B.hoa;automata/hyperltl/gni_lmcs_p4_3bit_A.hoa;0.46;0;;0.38;0;;0.03;1;;0.07;0;;0.07;0;;0.06;0;;0.06;0;;0.09;0;
automata/hyperltl/mutation_testing_mutation_testing_A.hoa;automata/hyperltl/mutation_testing_mutation_testing_B.hoa;0.11;0;;0.16;0;;0.01;1;;0.01;1;;0.01;1;;0.01;1;;0.01;1;;0.02;1;
automata/hyperltl/mutation_testing_mutation_testing_B.hoa;automata/hyperltl/mutation_testing_mutation_testing_A.hoa;0.09;0;;0.15;0;;0.03;1;;0.02;1;;0.0;1;;0.02;1;;0.01;1;;0.01;1;
automata/hyperltl/planning_robotic_robustness_100_A.hoa;automata/hyperltl/planning_robotic_robustness_100_B.hoa;0.06;1;;0.12;0;;0.02;1;;0.31;1;;0.3;1;;0.3;1;;0.3;1;;1.53;1;
automata/hyperltl/planning_robotic_robustness_100_B.hoa;automata/hyperltl/planning_robotic_robustness_100_A.hoa;0.06;1;;0.14;0;;0.03;1;;0.05;1;;0.05;1;;0.04;1;;0.04;1;;0.14;1;
automata/hyperltl/planning_robotic_robustness_1600_A.hoa;automata/hyperltl/planning_robotic_robustness_1600_B.hoa;0.07;1;;0.26;0;;0.03;1;;0.71;1;;0.73;1;;0.69;1;;0.71;1;;ERR;ERR;ERR
automata/hyperltl/planning_robotic_robustness_1600_B.hoa;automata/hyperltl/planning_robotic_robustness_1600_A.hoa;0.06;1;;0.29;0;;0.03;1;;0.09;1;;0.09;1;;0.09;1;;0.09;1;;3.61;1;
automata/hyperltl/planning_robotic_robustness_3600_A.hoa;automata/hyperltl/planning_robotic_robustness_3600_B.hoa;0.09;1;;0.37;0;;0.02;1;;0.08;1;;0.08;1;;0.09;1;;0.09;1;;ERR;ERR;ERR
automata/hyperltl/planning_robotic_robustness_3600_B.hoa;automata/hyperltl/planning_robotic_robustness_3600_A.hoa;0.04;1;;0.38;0;;0.03;1;;0.2;1;;0.2;1;;0.2;1;;0.19;1;;8.93;1;
automata/hyperltl/planning_robotic_robustness_400_A.hoa;automata/hyperltl/planning_robotic_robustness_400_B.hoa;0.07;1;;0.21;0;;0.02;1;;0.18;1;;0.17;1;;0.17;1;;0.18;1;;16.43;1;
automata/hyperltl/planning_robotic_robustness_400_B.hoa;automata/hyperltl/planning_robotic_robustness_400_A.hoa;0.06;1;;0.2;0;;0.03;1;;0.04;1;;0.03;1;;0.03;1;;0.03;1;;0.75;1;
automata/hyperltl/planning_robotic_sp_100_A.hoa;automata/hyperltl/planning_robotic_sp_100_B.hoa;0.09;0;;0.11;0;;0.03;1;;0.01;1;;0.01;1;;0.01;1;;0.01;1;;0.01;1;
automata/hyperltl/planning_robotic_sp_100_B.hoa;automata/hyperltl/planning_robotic_sp_100_A.hoa;0.07;0;;0.1;0;;0.02;1;;0.0;1;;0.01;1;;0.0;1;;0.0;1;;0.01;1;
automata/hyperltl/planning_robotic_sp_1600_A.hoa;automata/hyperltl/planning_robotic_sp_1600_B.hoa;0.11;0;;0.15;0;;0.03;1;;0.04;1;;0.04;1;;0.04;1;;0.03;1;;0.03;1;
automata/hyperltl/planning_robotic_sp_1600_B.hoa;automata/hyperltl/planning_robotic_sp_1600_A.hoa;0.15;0;;0.11;0;;0.03;1;;0.01;1;;0.01;1;;0.01;1;;0.01;1;;0.01;1;
automata/hyperltl/planning_robotic_sp_3600_A.hoa;automata/hyperltl/planning_robotic_sp_3600_B.hoa;0.11;0;;0.13;0;;0.02;1;;0.02;1;;0.03;1;;0.03;1;;0.02;1;;0.03;1;
automata/hyperltl/planning_robotic_sp_3600_B.hoa;automata/hyperltl/planning_robotic_sp_3600_A.hoa;0.12;0;;0.13;0;;0.04;1;;0.0;1;;0.01;1;;0.01;1;;0.0;1;;0.01;1;
automata/hyperltl/planning_robotic_sp_400_A.hoa;automata/hyperltl/planning_robotic_sp_400_B.hoa;0.09;0;;0.12;0;;0.03;1;;0.01;1;;0.02;1;;0.01;1;;0.02;1;;0.02;1;
automata/hyperltl/planning_robotic_sp_400_B.hoa;automata/hyperltl/planning_robotic_sp_400_A.hoa;0.09;0;;0.11;0;;0.03;1;;0.0;1;;0.0;1;;0.0;1;;0.01;1;;0.01;1;
automata/hyperltl/snark1_M1_concurrent_snark1_M2_sequential_A.hoa;automata/hyperltl/snark1_M1_concurrent_snark1_M2_sequential_B.hoa;0.23;0;;0.24;0;;0.02;1;;0.9;1;;0.9;1;;0.91;1;;0.91;1;;0.55;1;
automata/hyperltl/snark1_M1_concurrent_snark1_M2_sequential_B.hoa;automata/hyperltl/snark1_M1_concurrent_snark1_M2_sequential_A.hoa;0.21;0;;0.23;0;;0.03;1;;0.01;1;;0.01;1;;0.01;1;;0.02;1;;0.22;1;
