file1;file2;rabit-runtime;rabit-retcode;rabit-states_cnt;forklift-runtime;forklift-retcode;forklift-states_cnt;bait-runtime;bait-retcode;bait-states_cnt;kofola_fast-runtime;kofola_fast-retcode;kofola_fast-states_cnt;kofola_fast_early-runtime;kofola_fast_early-retcode;kofola_fast_early-states_cnt;kofola_fast_early_plus-runtime;kofola_fast_early_plus-retcode;kofola_fast_early_plus-states_cnt;kofola_fast_early_early_plus-runtime;kofola_fast_early_early_plus-retcode;kofola_fast_early_early_plus-states_cnt;autfilt_64-runtime;autfilt_64-retcode;autfilt_64-states_cnt;kofola_fast_cnt-runtime;kofola_fast_cnt-retcode;kofola_fast_cnt-states_cnt;kofola_fast_early_cnt-runtime;kofola_fast_early_cnt-retcode;kofola_fast_early_cnt-states_cnt;kofola_fast_early_plus_cnt-runtime;kofola_fast_early_plus_cnt-retcode;kofola_fast_early_plus_cnt-states_cnt;kofola_fast_early_early_plus_cnt-runtime;kofola_fast_early_early_plus_cnt-retcode;kofola_fast_early_early_plus_cnt-states_cnt;autfilt_64_cnt-runtime;autfilt_64_cnt-retcode;autfilt_64_cnt-states_cnt
automata/hyperltl/NI_correct_NI_formula_A.hoa;automata/hyperltl/NI_correct_NI_formula_B.hoa;10.67;0;;2.98;1;;32.4;0;;0.0;0;;0.0;0;;0.01;0;;0.0;0;;0.01;0;;0.01;0;69;0.0;0;69;0.01;0;69;0.0;0;69;0.0;0;61
automata/hyperltl/NI_correct_NI_formula_B.hoa;automata/hyperltl/NI_correct_NI_formula_A.hoa;9.8;0;;14.32;1;;8.85;0;;0.0;1;;0.0;1;;0.0;1;;0.0;1;;0.01;1;;0.0;1;18;0.0;1;18;0.0;1;18;0.0;1;18;0.0;1;385
automata/hyperltl/NI_incorrect_NI_formula_A.hoa;automata/hyperltl/NI_incorrect_NI_formula_B.hoa;ERR;ERR;ERR;25.88;1;;663.98;0;;0.42;1;;0.42;1;;0.41;1;;0.42;1;;0.33;1;;0.42;1;188;0.42;1;188;0.42;1;188;0.42;1;188;0.33;1;92
automata/hyperltl/NI_incorrect_NI_formula_B.hoa;automata/hyperltl/NI_incorrect_NI_formula_A.hoa;ERR;ERR;ERR;46.25;1;;172.4;0;;0.01;1;;0.0;1;;0.0;1;;0.01;1;;0.0;1;;0.0;1;48;0.01;1;48;0.01;1;48;0.0;1;48;0.0;1;3645
automata/hyperltl/NRP_correct_NRP_formula_A.hoa;automata/hyperltl/NRP_correct_NRP_formula_B.hoa;6.75;0;;2.63;1;;11.44;0;;0.0;1;;0.0;1;;0.0;1;;0.0;1;;0.01;1;;0.0;1;23;0.0;1;23;0.0;1;23;0.0;1;23;0.0;1;56
automata/hyperltl/NRP_correct_NRP_formula_B.hoa;automata/hyperltl/NRP_correct_NRP_formula_A.hoa;6.27;0;;5.43;1;;12.93;0;;0.0;1;;0.0;1;;0.0;1;;0.0;1;;0.01;1;;0.0;1;19;0.0;1;19;0.0;1;19;0.0;1;19;0.0;1;1161
automata/hyperltl/NRP_incorrect_NRP_formula_A.hoa;automata/hyperltl/NRP_incorrect_NRP_formula_B.hoa;10.01;0;;2.8;1;;11.65;0;;0.18;1;;0.19;1;;0.17;1;;0.19;1;;0.27;1;;0.19;1;26;0.19;1;26;0.18;1;26;0.19;1;26;0.26;1;49
automata/hyperltl/NRP_incorrect_NRP_formula_B.hoa;automata/hyperltl/NRP_incorrect_NRP_formula_A.hoa;8.03;0;;5.33;1;;13.05;0;;0.0;1;;0.0;1;;0.0;1;;0.0;1;;0.01;1;;0.0;1;17;0.01;1;17;0.0;1;17;0.0;1;17;0.0;1;1075
automata/hyperltl/bakery_3procs_bakery_formula_S2_3proc_A.hoa;automata/hyperltl/bakery_3procs_bakery_formula_S2_3proc_B.hoa;0.32;0;;0.16;1;;0.29;0;;0.02;1;;0.01;1;;0.01;1;;0.02;1;;0.04;1;;0.02;1;38;0.02;1;38;0.02;1;38;0.01;1;38;0.03;1;248
automata/hyperltl/bakery_3procs_bakery_formula_S2_3proc_B.hoa;automata/hyperltl/bakery_3procs_bakery_formula_S2_3proc_A.hoa;0.37;0;;0.16;1;;0.29;0;;0.0;1;;0.0;1;;0.0;1;;0.0;1;;0.0;1;;0.0;1;49;0.0;1;49;0.01;1;49;0.0;1;49;0.0;1;482
