file1;file2;kofola_high_cnt-runtime;kofola_high_cnt-retcode;kofola_high_cnt-states_cnt;kofola_high-runtime;kofola_high-retcode;kofola_high-states_cnt;kofola_medium_cnt-runtime;kofola_medium_cnt-retcode;kofola_medium_cnt-states_cnt;kofola_medium-runtime;kofola_medium-retcode;kofola_medium-states_cnt;kofola_low_cnt-runtime;kofola_low_cnt-retcode;kofola_low_cnt-states_cnt;kofola_low-runtime;kofola_low-retcode;kofola_low-states_cnt;kofola_no_preproc_cnt-runtime;kofola_no_preproc_cnt-retcode;kofola_no_preproc_cnt-states_cnt;kofola_no_preproc-runtime;kofola_no_preproc-retcode;kofola_no_preproc-states_cnt;kofola_nodir_high_cnt-runtime;kofola_nodir_high_cnt-retcode;kofola_nodir_high_cnt-states_cnt;kofola_nodir_high-runtime;kofola_nodir_high-retcode;kofola_nodir_high-states_cnt;kofola_nodir_medium_cnt-runtime;kofola_nodir_medium_cnt-retcode;kofola_nodir_medium_cnt-states_cnt;kofola_nodir_medium-runtime;kofola_nodir_medium-retcode;kofola_nodir_medium-states_cnt;kofola_nodir_low_cnt-runtime;kofola_nodir_low_cnt-retcode;kofola_nodir_low_cnt-states_cnt;kofola_nodir_low-runtime;kofola_nodir_low-retcode;kofola_nodir_low-states_cnt;kofola_nodir_no_preproc_cnt-runtime;kofola_nodir_no_preproc_cnt-retcode;kofola_nodir_no_preproc_cnt-states_cnt;kofola_nodir_no_preproc-runtime;kofola_nodir_no_preproc-retcode;kofola_nodir_no_preproc-states_cnt;kofola_noopt_high_cnt-runtime;kofola_noopt_high_cnt-retcode;kofola_noopt_high_cnt-states_cnt;kofola_noopt_high-runtime;kofola_noopt_high-retcode;kofola_noopt_high-states_cnt;kofola_noopt_medium_cnt-runtime;kofola_noopt_medium_cnt-retcode;kofola_noopt_medium_cnt-states_cnt;kofola_noopt_medium-runtime;kofola_noopt_medium-retcode;kofola_noopt_medium-states_cnt;kofola_noopt_low_cnt-runtime;kofola_noopt_low_cnt-retcode;kofola_noopt_low_cnt-states_cnt;kofola_noopt_low-runtime;kofola_noopt_low-retcode;kofola_noopt_low-states_cnt;kofola_noopt_no_preproc_cnt-runtime;kofola_noopt_no_preproc_cnt-retcode;kofola_noopt_no_preproc_cnt-states_cnt;kofola_noopt_no_preproc-runtime;kofola_noopt_no_preproc-retcode;kofola_noopt_no_preproc-states_cnt;autfilt_cnt-runtime;autfilt_cnt-retcode;autfilt_cnt-states_cnt;autfilt-runtime;autfilt-retcode;autfilt-states_cnt;autfilt_64_cnt-runtime;autfilt_64_cnt-retcode;autfilt_64_cnt-states_cnt;autfilt_64-runtime;autfilt_64-retcode;autfilt_64-states_cnt;rabit-runtime;rabit-retcode;rabit-states_cnt;forklift-runtime;forklift-retcode;forklift-states_cnt;bait-runtime;bait-retcode;bait-states_cnt
automata/rabit/included/bakery/bakeryA.hoa;automata/rabit/included/bakery/bakeryB.hoa;3.6;1;2;3.62;1;;3.6;1;2;3.65;1;;2.59;1;2;2.64;1;;2.8;1;3;2.76;1;;1.8;1;2;1.8;1;;1.85;1;2;1.79;1;;0.57;1;2;0.55;1;;0.74;1;3;0.75;1;;1.0;1;3;0.97;1;;1.01;1;3;0.99;1;;0.4;1;3;0.41;1;;0.74;1;3;0.75;1;;2.76;1;248151;2.62;1;;2.86;1;248151;2.68;1;;1.67;0;;0.27;1;;0.77;0;
automata/rabit/included/bakeryv2/bakeryV2A.hoa;automata/rabit/included/bakeryv2/bakeryV2B.hoa;4.22;1;480;4.21;1;;4.2;1;480;4.17;1;;21.55;0;578535;21.15;0;;0.94;0;2;0.95;0;;1.04;1;481;1.06;1;;1.05;1;481;1.04;1;;17.39;0;578535;17.4;0;;62.01;0;1247253;61.16;0;;6.99;0;743061;6.73;0;;6.67;0;743061;7.18;0;;7.65;0;824362;7.43;0;;116.93;0;9989479;122.87;0;;1.95;0;51912;1.82;0;;2.03;0;51912;1.97;0;;2.22;0;;548.13;1;;ERR;ERR;ERR
automata/rabit/included/fischer/fischerA.hoa;automata/rabit/included/fischer/fischerB.hoa;8.6;0;566;8.42;0;;8.23;0;566;8.26;0;;68.94;0;34760;73.52;0;;144.43;0;61493;141.27;0;;2.79;0;566;3.03;0;;3.1;0;566;2.74;0;;56.83;0;34760;58.0;0;;137.76;0;61493;123.89;0;;3.55;0;127948;3.58;0;;3.61;0;127948;3.38;0;;12.84;0;219895;12.84;0;;13.28;0;221616;13.38;0;;0.47;0;3550;0.45;0;;0.52;0;3550;0.5;0;;1.12;0;;ERR;ERR;ERR;ERR;ERR;ERR
automata/rabit/included/fischerv2/fischerV2A.hoa;automata/rabit/included/fischerv2/fischerV2B.hoa;0.78;0;4090;0.78;0;;0.8;0;4090;0.8;0;;2.07;0;6607;2.06;0;;5.8;0;9853;5.76;0;;0.79;0;4090;0.78;0;;0.8;0;4090;0.78;0;;2.07;0;6607;2.03;0;;6.13;0;10347;6.16;0;;0.06;0;10089;0.07;0;;0.07;0;10089;0.07;0;;0.05;0;7417;0.05;0;;0.08;0;10347;0.08;0;;0.01;0;1427;0.01;0;;0.01;0;1427;0.01;0;;0.09;0;;0.24;1;;0.47;0;
automata/rabit/included/fischerv3/fischerV3A.hoa;automata/rabit/included/fischerv3/fischerV3B.hoa;0.03;0;216;0.03;0;;0.03;0;216;0.03;0;;0.03;0;251;0.03;0;;389.93;0;72098;386.66;0;;0.03;0;216;0.03;0;;0.03;0;216;0.02;0;;0.02;0;251;0.02;0;;396.63;0;72390;395.41;0;;0.04;0;7401;0.04;0;;0.04;0;7401;0.04;0;;0.03;0;7401;0.04;0;;3.97;0;72390;3.88;0;;0.02;0;1856;0.01;0;;0.01;0;1856;0.02;0;;2.08;0;;235.2;0;;247.43;0;
automata/rabit/included/fischerv4/fischerV4A.hoa;automata/rabit/included/fischerv4/fischerV4B.hoa;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;TO;11.57;0;265268;11.72;0;;11.92;0;265268;11.48;0;;14.66;0;304451;14.6;0;;17.69;0;318274;17.28;0;;ERR;ERR;ERR;ERR;ERR;ERR;2.39;0;30089;2.37;0;;0.75;0;;388.78;0;;ERR;ERR;ERR
automata/rabit/included/peterson/petersonA.hoa;automata/rabit/included/peterson/petersonB.hoa;0.0;0;18;0.0;0;;0.0;0;18;0.0;0;;0.0;0;18;0.0;0;;0.0;0;30;0.0;0;;0.0;0;18;0.01;0;;0.01;0;18;0.0;0;;0.0;0;18;0.0;0;;0.0;0;30;0.0;0;;0.0;0;24;0.0;0;;0.0;0;24;0.0;0;;0.0;0;26;0.0;0;;0.0;0;31;0.0;0;;0.0;0;24;0.0;0;;0.0;0;24;0.01;0;;0.04;0;;0.08;0;;0.12;0;
automata/rabit/included/phils/philsA.hoa;automata/rabit/included/phils/philsB.hoa;0.06;1;66;0.05;1;;0.05;1;66;0.04;1;;0.03;0;195;0.03;0;;0.03;0;396;0.02;0;;0.04;1;66;0.04;1;;0.04;1;66;0.04;1;;0.02;0;195;0.01;0;;0.01;0;396;0.01;0;;0.04;0;325;0.04;0;;0.04;0;325;0.05;0;;0.02;0;323;0.01;0;;0.02;0;402;0.01;0;;0.03;0;201;0.03;0;;0.02;0;201;0.02;0;;0.12;0;;10.38;0;;131.43;0;
automata/rabit/notincluded/bakeryv3/bakeryV3A.hoa;automata/rabit/notincluded/bakeryv3/bakeryV3B.hoa;3.55;1;27;3.56;1;;3.48;1;27;3.5;1;;3.74;1;35;3.75;1;;4.04;1;11;3.96;1;;1.18;1;27;1.15;1;;1.15;1;27;1.16;1;;0.47;1;35;0.51;1;;0.72;1;11;0.74;1;;0.69;1;11;0.69;1;;0.67;1;11;0.69;1;;0.41;1;11;0.4;1;;0.74;1;11;0.74;1;;0.22;1;1149;0.21;1;;0.21;1;1149;0.21;1;;1.24;0;;0.22;1;;3.18;0;
automata/rabit/notincluded/fischerv5/fischerV5A.hoa;automata/rabit/notincluded/fischerv5/fischerV5B.hoa;4.35;1;75;4.33;1;;4.08;1;75;4.23;1;;13.33;1;853;14.25;1;;12.96;1;4476;13.77;1;;2.72;1;75;3.08;1;;2.9;1;75;2.91;1;;0.52;1;853;0.5;1;;0.35;1;4476;0.34;1;;0.39;1;1671;0.37;1;;0.39;1;1671;0.37;1;;0.38;1;849;0.34;1;;0.35;1;4484;0.34;1;;0.02;1;7219;0.01;1;;0.01;1;7219;0.01;1;;7.89;0;;4.1;1;;101.78;0;
