file1;file2;rabit-runtime;rabit-retcode;rabit-states_cnt;forklift-runtime;forklift-retcode;forklift-states_cnt;bait-runtime;bait-retcode;bait-states_cnt;kofola_fast-runtime;kofola_fast-retcode;kofola_fast-states_cnt;kofola_fast_early-runtime;kofola_fast_early-retcode;kofola_fast_early-states_cnt;kofola_fast_early_plus-runtime;kofola_fast_early_plus-retcode;kofola_fast_early_plus-states_cnt;kofola_fast_early_early_plus-runtime;kofola_fast_early_early_plus-retcode;kofola_fast_early_early_plus-states_cnt;autfilt_64-runtime;autfilt_64-retcode;autfilt_64-states_cnt;kofola_fast_cnt-runtime;kofola_fast_cnt-retcode;kofola_fast_cnt-states_cnt;kofola_fast_early_cnt-runtime;kofola_fast_early_cnt-retcode;kofola_fast_early_cnt-states_cnt;kofola_fast_early_plus_cnt-runtime;kofola_fast_early_plus_cnt-retcode;kofola_fast_early_plus_cnt-states_cnt;kofola_fast_early_early_plus_cnt-runtime;kofola_fast_early_early_plus_cnt-retcode;kofola_fast_early_early_plus_cnt-states_cnt;autfilt_64_cnt-runtime;autfilt_64_cnt-retcode;autfilt_64_cnt-states_cnt
automata/rabit/included/bakery/bakeryA.hoa;automata/rabit/included/bakery/bakeryB.hoa;1.63;0;;0.25;1;;0.62;0;;0.18;1;;0.17;1;;0.17;1;;0.17;1;;2.78;1;;0.17;1;4;0.17;1;4;0.17;1;4;0.18;1;4;2.69;1;248151
automata/rabit/included/bakery/bakeryB.hoa;automata/rabit/included/bakery/bakeryA.hoa;1.6;0;;0.23;1;;0.66;0;;0.17;1;;0.18;1;;0.18;1;;0.18;1;;2.78;1;;0.18;1;11;0.18;1;11;0.19;1;11;0.18;1;11;2.67;1;248149
automata/rabit/included/bakeryv2/bakeryV2A.hoa;automata/rabit/included/bakeryv2/bakeryV2B.hoa;2.26;0;;557.41;1;;ERR;ERR;ERR;8.1;0;;8.45;0;;8.53;0;;8.55;0;;1.88;0;;8.16;0;828414;8.3;0;791707;8.43;0;791707;8.26;0;791707;1.94;0;51912
automata/rabit/included/bakeryv2/bakeryV2B.hoa;automata/rabit/included/bakeryv2/bakeryV2A.hoa;0.75;0;;TO;TO;TO;ERR;ERR;ERR;7.95;0;;8.69;0;;8.53;0;;8.97;0;;1.72;0;;8.0;0;828394;8.34;0;792209;8.32;0;792209;8.73;0;792209;1.86;0;51913
automata/rabit/included/fischer/fischerA.hoa;automata/rabit/included/fischer/fischerB.hoa;1.19;0;;87.83;1;;ERR;ERR;ERR;12.82;0;;104.71;0;;101.54;0;;111.21;0;;0.47;0;;12.9;0;229958;100.91;0;160247;102.3;0;160247;110.57;0;160247;0.49;0;3550
automata/rabit/included/fischer/fischerB.hoa;automata/rabit/included/fischer/fischerA.hoa;7.93;0;;3.86;1;;86.66;0;;0.33;1;;0.33;1;;0.33;1;;0.33;1;;0.02;1;;0.33;1;1382;0.32;1;1382;0.33;1;1382;0.34;1;1382;0.01;1;7219
automata/rabit/included/fischerv2/fischerV2A.hoa;automata/rabit/included/fischerv2/fischerV2B.hoa;0.09;0;;0.23;1;;0.43;0;;0.05;0;;0.71;0;;0.76;0;;0.98;0;;0.01;0;;0.05;0;7745;0.68;0;7659;0.76;0;7659;0.99;0;7659;0.0;0;1427
automata/rabit/included/fischerv2/fischerV2B.hoa;automata/rabit/included/fischerv2/fischerV2A.hoa;2.43;0;;0.2;1;;1.6;0;;0.04;0;;0.55;0;;0.56;0;;0.74;0;;0.02;0;;0.04;0;4856;0.54;0;4776;0.57;0;4776;0.74;0;4776;0.0;0;1428
automata/rabit/included/fischerv3/fischerV3A.hoa;automata/rabit/included/fischerv3/fischerV3B.hoa;1.98;0;;230.72;0;;210.73;0;;0.04;0;;0.11;0;;0.11;0;;0.13;0;;0.02;0;;0.04;0;7541;0.11;0;7477;0.11;0;7477;0.13;0;7477;0.02;0;1856
automata/rabit/included/fischerv3/fischerV3B.hoa;automata/rabit/included/fischerv3/fischerV3A.hoa;0.73;0;;223.64;0;;245.37;0;;0.04;0;;0.1;0;;0.12;0;;0.13;0;;0.02;0;;0.04;0;7577;0.11;0;7517;0.11;0;7517;0.13;0;7517;0.01;0;1863
