name;kofola_high_cnt-runtime;kofola_high_cnt-retcode;kofola_high_cnt-states_cnt;kofola_high-runtime;kofola_high-retcode;kofola_high-states_cnt;kofola_medium_cnt-runtime;kofola_medium_cnt-retcode;kofola_medium_cnt-states_cnt;kofola_medium-runtime;kofola_medium-retcode;kofola_medium-states_cnt;kofola_low_cnt-runtime;kofola_low_cnt-retcode;kofola_low_cnt-states_cnt;kofola_low-runtime;kofola_low-retcode;kofola_low-states_cnt;kofola_no_preproc_cnt-runtime;kofola_no_preproc_cnt-retcode;kofola_no_preproc_cnt-states_cnt;kofola_no_preproc-runtime;kofola_no_preproc-retcode;kofola_no_preproc-states_cnt;autfilt_cnt-runtime;autfilt_cnt-retcode;autfilt_cnt-states_cnt;autfilt-runtime;autfilt-retcode;autfilt-states_cnt
automata/rabit/included/bakery/bakeryA.hoa;automata/rabit/included/bakery/bakeryB.hoa;24.15;1;3;24.43;1;;25.62;1;3;25.08;1;;24.76;1;3;25.03;1;;18.13;1;3;18.88;1;;2.61;1;248151;2.27;1;
automata/rabit/included/bakeryv2/bakeryV2A.hoa;automata/rabit/included/bakeryv2/bakeryV2B.hoa;222.91;0;1514242;218.22;0;;222.21;0;1514242;218.26;0;;224.86;0;1514242;217.56;0;;6.83;0;2;7.06;0;;1.6;0;51912;1.59;0;
automata/rabit/included/fischer/fischerA.hoa;automata/rabit/included/fischer/fischerB.hoa;520.6;0;61788;530.69;0;;520.49;0;61788;533.15;0;;519.53;0;61788;531.92;0;;509.9;0;61493;499.82;0;;0.48;0;3550;0.41;0;
automata/rabit/included/fischerv2/fischerV2A.hoa;automata/rabit/included/fischerv2/fischerV2B.hoa;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.01;0;1427;0.01;0;
automata/rabit/included/fischerv3/fischerV3A.hoa;automata/rabit/included/fischerv3/fischerV3B.hoa;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.02;0;1856;0.01;0;
automata/rabit/included/fischerv4/fischerV4A.hoa;automata/rabit/included/fischerv4/fischerV4B.hoa;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
automata/rabit/included/peterson/petersonA.hoa;automata/rabit/included/peterson/petersonB.hoa;0.0;0;35;0.0;0;;0.01;0;35;0.0;0;;0.0;0;35;0.0;0;;0.0;0;30;0.0;0;;0.01;0;24;0.0;0;
automata/rabit/included/phils/philsA.hoa;automata/rabit/included/phils/philsB.hoa;0.16;0;396;0.17;0;;0.16;0;396;0.16;0;;0.14;0;396;0.13;0;;0.12;0;396;0.11;0;;0.02;0;201;0.02;0;
automata/rabit/notincluded/bakeryv3/bakeryV3A.hoa;automata/rabit/notincluded/bakeryv3/bakeryV3B.hoa;31.29;1;11;31.21;1;;32.36;1;11;33.01;1;;31.42;1;11;31.61;1;;19.14;1;11;19.83;1;;0.19;1;1149;0.19;1;
automata/rabit/notincluded/fischerv5/fischerV5A.hoa;automata/rabit/notincluded/fischerv5/fischerV5B.hoa;13.04;1;4484;13.12;1;;13.06;1;4484;13.24;1;;13.01;1;4484;13.03;1;;14.77;1;4484;14.99;1;;0.03;1;7219;0.01;1;
automata/rabit/notincluded/philsv2/philsV2A.hoa;automata/rabit/notincluded/philsv2/philsV2B.hoa;0.04;1;15;0.03;1;;0.04;1;15;0.04;1;;0.03;1;15;0.03;1;;0.03;1;15;0.03;1;;0.01;1;780;0.0;1;
automata/rabit/notincluded/philsv3/philsV3A.hoa;automata/rabit/notincluded/philsv3/philsV3B.hoa;0.04;1;17;0.03;1;;0.04;1;17;0.04;1;;0.04;1;17;0.04;1;;0.04;1;17;0.03;1;;0.01;1;780;0.0;1;
automata/rabit/notincluded/philsv4/philsV4A.hoa;automata/rabit/notincluded/philsv4/philsV4B.hoa;0.26;1;1984;0.26;1;;0.26;1;1984;0.26;1;;0.22;1;1984;0.22;1;;0.2;1;1984;0.21;1;;0.05;1;29539;0.04;1;
